,State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,sex_ratio,literacy_rate
54,Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,MAHARASHTRA,3701282,1924469,1776813,1430936,1072901,2545438,786677,15991,5142,309093,30981,7960,246324,589477,23258,69937,551789,427343,979132,923.0,68.0
55,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,BIHAR,2540073,1318684,1221389,868733,597269,2291133,237353,2218,295,334,775,7965,24106,44456,2362,31168,428291,49006,477297,926.0,58.0
56,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,MAHARASHTRA,3701282,1924469,1776813,1430936,1072901,2545438,786677,15991,5142,309093,30981,7960,246324,589477,23258,69937,551789,427343,979132,923.0,68.0
57,Bihar,Banka,24.832355642023337,86.8664916342413,225,BIHAR,2034763,1067140,967623,590961,374360,1772655,250925,6138,139,113,94,4699,15459,62359,1704,22300,425604,18492,444096,907.0,47.0
58,Bihar,Begusarai,25.54302613168723,86.12560144032932,222,BIHAR,2970541,1567660,1402881,918507,630166,2554330,407348,2209,402,229,276,5747,49493,120373,4644,43127,594377,139248,733625,895.0,52.0
59,Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,BIHAR,3037766,1615663,1422103,937669,635397,2487866,537098,3556,415,180,1050,7601,63241,174534,6764,46929,522527,130634,653161,880.0,52.0
60,Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,BIHAR,2728407,1430380,1298027,973486,625665,2518216,197819,2165,544,647,1472,7544,45763,62153,3661,34658,434559,77368,511927,907.0,59.0
61,Bihar,Buxar,25.48593018867924,84.08808081760995,232,BIHAR,1706352,887977,818375,593544,396263,1591454,105423,2125,248,5090,97,1915,27362,46760,1784,19324,299252,35405,334657,922.0,58.0
62,Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,BIHAR,3937385,2059949,1877436,1125566,691068,3042729,881476,3534,832,245,236,8333,59510,127442,6280,53205,907174,95539,1002713,911.0,46.0
63,Bihar,Gaya,24.7266541547278,84.94291217765044,236,BIHAR,4391418,2266566,2124852,1368803,928810,3876395,488121,3943,913,870,1723,19453,57738,112617,6856,57011,696289,111282,807571,937.0,52.0
64,Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,BIHAR,2562012,1267666,1294346,793905,589093,2119262,436057,2463,271,167,133,3659,31193,69375,3707,33596,515925,38133,554058,1021.0,54.0
65,Bihar,Jamui,24.78418380462726,86.26316298200514,238,BIHAR,1760405,916064,844341,534385,324203,1525746,217621,8443,162,159,87,8187,12984,32633,1839,22414,325909,30851,356760,922.0,49.0
66,Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,BIHAR,1125313,585582,539731,374412,244469,1045117,75742,691,148,248,60,3307,15507,27641,1106,11302,186660,28132,214792,922.0,55.0
67,Bihar,Katihar,25.56565356037151,87.70466083591326,212,BIHAR,3071029,1600430,1470599,762256,517934,1684589,1365645,8659,2754,212,507,8663,32570,60900,2941,27263,668232,69838,738070,919.0,42.0
68,Bihar,Khagaria,25.53558891454964,86.56593256351037,223,BIHAR,1666886,883786,783100,461153,306875,1486989,175588,1253,143,79,86,2748,15401,40641,1580,21654,373696,21007,394703,886.0,46.0
69,Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,BIHAR,1690400,866970,823430,439921,305135,531236,1149095,5783,398,183,1476,2229,11715,58718,1093,14073,401793,43357,445150,950.0,44.0
70,Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,BIHAR,1000912,526345,474567,305182,202088,956396,40886,487,140,52,78,2873,12938,44491,1186,8862,175882,31763,207645,902.0,51.0
71,Bihar,Madhepura,25.77341929460581,86.8978443983403,213,BIHAR,2001762,1047559,954203,517666,316911,1753829,241760,1342,170,60,133,4468,12302,23236,1397,23309,486278,24000,510278,911.0,42.0
72,Bihar,Madhubani,26.41380538172716,86.16328360450552,207,BIHAR,4487379,2329313,2158066,1340085,815253,3652168,818912,3262,564,328,442,11703,47090,113281,5319,65548,1047552,41234,1088786,926.0,48.0
73,Bihar,Munger,25.198537962962963,86.54173672839504,226,BIHAR,1367765,729041,638724,473741,328076,1252319,110416,1815,338,95,145,2637,49141,90461,2653,17946,222281,85782,308063,876.0,59.0
74,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,BIHAR,4801062,2527497,2273565,1487117,1022115,4032773,745546,5149,933,288,382,15991,87796,180651,10290,73012,998694,120700,1119394,900.0,52.0
75,Bihar,Nalanda,25.229345508982053,85.48053113772461,229,BIHAR,2877653,1497060,1380593,919558,600375,2669775,198033,1978,393,414,561,6499,43761,101378,4156,43848,514141,102522,616663,922.0,53.0
76,Bihar,Nawada,24.825708836206903,85.61594568965519,237,BIHAR,2219146,1144668,1074478,659474,431538,1964620,244394,1299,250,176,279,8128,20522,31162,1841,28411,379551,45323,424874,939.0,49.0
77,Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,BIHAR,3935042,2061110,1873932,1091226,668255,3047427,865090,8469,926,1337,296,11497,38414,57546,3495,41143,839514,96620,936134,909.0,45.0
